"akatia__Auto_Merge__c","Billing_Name__c","akatia__Commodity_Group_Code__c","akatia__SubGroup_Code__c","akatia__Description__c","akatia__DNGenerate_Putaway__c","akatia__Serial_Mgt__c","Name","akatia__Item__c"
"true","10m Starlink  Mini USB-C to DC Power Cable","Item","Accessory","10m Starlink  Mini USB-C to DC Power Cable","false","false","10mMiniUSB-CtoDCPC","x"
"true","15m Starlink Mini Ethernet Cable","Item","Accessory","15m Starlink Mini Ethernet Cable","false","false","15mMiniEC","x"
"true","30m Starlink Mini DC Power Cable","Item","Accessory","30m Starlink Mini DC Power Cable","false","false","30mMiniDCPC","x"
"true","Wall Adapter","Item","Accessory","4XEM Charging Adapter","false","false","4XEMCA","873791005437"
"true","Ailkin Wall Charger","Item","Accessory","Ailkin Wall Charger","false","false","AWC","X002XSU8GJ"
"false","AirCard 791L","Asset","Aircard","AirCard 791L","false","true","AirCard791L",""
"true","Aircard","Asset","Aircard","Aircard: Undefined","false","false","ACU","x111111111118"
"true","Generic Android Phone Case","Item","Accessory","Android Case: Generic","false","false","ACG","8788787878"
"true","Anker Car Charger","Item","Accessory","Anker Car Charger","false","false","ACC","x111111111128"
"false","Airpods","Item","Accessory","Apple AirPods 4","false","false","AAP4","195949689604"
"true","Apple AirPods","Item","Accessory","Apple AirPods: Generic","false","false","AAPG","x111111111111"
"true","Charging Cable","Item","Accessory","Apple Lightning Charging Cable","false","false","APLLC","1234567899"
"true","Apple Magic Keyboard Folio","Item","Accessory","Apple Magic Keyboard Folio for iPad A16/10th (White)","false","false","iPMKFforA16W","194253417279"
"true","Apple Magic Keyboard iPad Pro 13"" (M4/M5)","Item","Accessory","Apple Magic Keyboard iPad Pro 13"" (M4/M5)","false","false","AMKiPadPro13M4/M5","x111111111128"
"true","Apple Pencil Pro","Item","Accessory","Apple Pencil Pro","false","false","ApPPro","195949573040"
"true","Apple Pencil","Item","Accessory","Apple Pencil: Generic","false","false","APG","x111111111111"
"true","Apple Wall Charger","Item","Accessory","Apple USB-A Wall Charger","false","false","AUAWC","666666666666666"
"true","Apple USB-C 240W Charging Cable (2m)","Item","Accessory","Apple USB-C 240W Charging Cable (2m)","false","false","APUSB-C240WCC","195949775352"
"true","Charging Cable","Item","Accessory","Apple USB-C Lightning Cable","false","false","APLUSBCC","195949085581"
"true","Wall Adapter","Item","Accessory","Apple USB-C Power Adapter","false","false","AUSBCPA","194252156940"
"true","Wall Adapter","Item","Accessory","Apple USB-C Wall Charger","false","false","APLEUSBCAC","195949537110"
"true","Apple Watch Ultra 3","Item","Wearable","Apple Watch Ultra 3","false","false","APLWatchU3","15326123"
"false","ARCHIVE","Asset","Apple-iPhone","ARCHIVE","false","true","iP17PM258GB","ARCHIVE"
"true","AT&T Cable","Item","Accessory","AT&T 4' Braided Cable USB-C to USB-C","false","false","A4'BCUU","033991106710"
"true","AT&T 30W Wall Charger","Item","Accessory","AT&T Fast Charge 30W Wall Charger","false","false","AFC30WWC","738516572079"
"true","AT&T Wall Charger","Item","Accessory","AT&T Fast Charge 30W Wall Charger Black","false","false","AFC30WWCB","738516572338"
"false","AT&T GO LINK AIRCARD","Asset","Aircard","AT&T GO LINK AIRCARD","false","true","ATTGOL","X80000000000000043"
"false","AT&T GoLink 5G Hotspot 32GB","Asset","Aircard","AT&T GoLink 5G Hotspot 32GB","false","true","AT&TGLH32GB","850050719618"
"true","Sim Card","Item","Accessory","AT&T SIM Card","false","false","ATTSIM","607376028746"
"true","AT&T Charger Bundle","Item","Accessory","AT&T USB-C to USB-C Cable Wall Charger Bundle","false","false","AUCTUCCWCB","738516101026"
"true","Wall Adapter","Item","Accessory","Belkin 20W USB-C Wall Charger","false","false","B20WUSBCWC","745883920600"
"true","Wall Adapter","Item","Accessory","Belkin 30W USB-C Wall Charger","false","false","B30WUSBCWC","745883880409"
"true","Belkin Screen Protector","Item","Accessory","Belkin Blue Light Protector iPhone 16/15/14 Pro","false","false","BBLPiP16/15/14 Pro","745883897490"
"true","Wall Adapter","Item","Accessory","Belkin BoostCharge Compact USB-C Wall Charger 30W","false","false","BBCCUSBCWC30W","745883920648"
"true","Belkin USB-A to USB-C Cable 15W","Item","Accessory","Belkin BoostCharge Pro USB-A to USB-C 15W","false","false","BBCPUAtUC15W","745883915293"
"true","Charging Cable","Item","Accessory","Belkin BoostCharge USB-A to USB-C Cable 15W","false","false","BBCUAUCC15W","745883915224"
"true","Belkin USB-C to Lightning","Item","Accessory","Belkin BoostCharge USB-C to Lighting 30W 3.3'","false","false","BBCUCtUC30W3.3'","745883879953"
"true","Belkin USB-C Charging Cable 60W 3.3'","Item","Accessory","Belkin BoostCharge USB-C to USB-C 60W 3.3'","false","false","BBCUCtUC60W3.3'","745883879977"
"true","Wall Adapter","Item","Accessory","Belkin BoostCharge USB-C Wall Adaptor 20W","false","false","BBCUSBCWA20W","745883825356"
"true","Wall Charger","Item","Accessory","Belkin BoostCharge USB-C Wall Charger 20W","false","false","BBCUSBCWC20W","745883880430"
"true","Charging Cable","Item","Accessory","Belkin Braided USB-C To USB-C Cable 60W","false","false","BBUSBCTUSBCC60W","745883917129"
"true","Belkin Braided USB-C To USB-C Cable 60W","Item","Accessory","Belkin Braided USB-C To USB-C Cable 60W","false","false","BBUSBCTUSBCC60W2","745883917136"
"false","Car Charger","Asset","Accessory","Belkin Dual Car Charger 42W","false","false","BDCC42W","745883920631"
"true","Screen Protector","Item","Accessory","Belkin ScreenForce InvisiGlass Blue Light Filter Screen Protector For iPhone 17/16 Pro","false","false","BSFIGBLFSPFiP17/16P","745883897551"
"true","Screen Protector","Item","Accessory","Belkin ScreenForce InvisiGlass Screen Protector For iPhone 17/16 Pro","false","false","BSFIGSPFiP17/16P","745883955060"
"true","Belkin Screen Protector for iPhone 17/16 Pro","Item","Accessory","Belkin ScreenForce InvisiGlass Screen Protector for iPhone 17/iPhone16 Pro","false","false","BSFIGSPFiP17/iP16P","745883934607"
"true","Belkin Screen Protector","Item","Accessory","Belkin ScreenForce IvisiGlass Screen Protector for iPhone 17 Pro Max","false","false","BSFIGSP17ProMax","745883934638"
